timestamp, name, pci.bus_id, driver_version, pstate, pcie.link.gen.max, pcie.link.gen.current, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2021/09/17 10:37:12.676, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P8, 3, 1, 40, 0 %, 0 %, 7948 MiB, 6887 MiB, 1061 MiB
2021/09/17 10:37:17.678, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P8, 3, 1, 39, 0 %, 0 %, 7948 MiB, 6887 MiB, 1061 MiB
2021/09/17 10:37:22.679, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P8, 3, 1, 40, 0 %, 0 %, 7948 MiB, 6887 MiB, 1061 MiB
2021/09/17 10:37:27.680, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P8, 3, 1, 39, 0 %, 0 %, 7948 MiB, 6887 MiB, 1061 MiB
2021/09/17 10:37:32.682, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P8, 3, 1, 40, 0 %, 0 %, 7948 MiB, 6887 MiB, 1061 MiB
2021/09/17 10:37:37.683, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P8, 3, 1, 39, 0 %, 0 %, 7948 MiB, 6887 MiB, 1061 MiB
2021/09/17 10:37:42.684, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P8, 3, 1, 40, 0 %, 0 %, 7948 MiB, 6887 MiB, 1061 MiB
2021/09/17 10:37:47.686, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P8, 3, 1, 39, 0 %, 0 %, 7948 MiB, 6887 MiB, 1061 MiB
2021/09/17 10:37:52.687, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P8, 3, 1, 40, 0 %, 0 %, 7948 MiB, 6887 MiB, 1061 MiB
2021/09/17 10:37:57.689, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P8, 3, 1, 39, 0 %, 0 %, 7948 MiB, 6887 MiB, 1061 MiB
2021/09/17 10:38:02.690, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P8, 3, 1, 39, 0 %, 0 %, 7948 MiB, 6887 MiB, 1061 MiB
2021/09/17 10:38:07.691, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P8, 3, 1, 39, 3 %, 1 %, 7948 MiB, 6884 MiB, 1064 MiB
2021/09/17 10:38:12.692, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 42, 0 %, 0 %, 7948 MiB, 5125 MiB, 2823 MiB
2021/09/17 10:38:17.693, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 52, 92 %, 66 %, 7948 MiB, 2745 MiB, 5203 MiB
2021/09/17 10:38:22.694, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 55, 83 %, 60 %, 7948 MiB, 2745 MiB, 5203 MiB
2021/09/17 10:38:27.695, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 56, 92 %, 67 %, 7948 MiB, 2745 MiB, 5203 MiB
2021/09/17 10:38:32.696, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 57, 83 %, 57 %, 7948 MiB, 2745 MiB, 5203 MiB
2021/09/17 10:38:37.697, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 57, 84 %, 60 %, 7948 MiB, 2745 MiB, 5203 MiB
2021/09/17 10:38:42.698, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 57, 89 %, 66 %, 7948 MiB, 2745 MiB, 5203 MiB
2021/09/17 10:38:47.699, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 57, 85 %, 61 %, 7948 MiB, 2745 MiB, 5203 MiB
2021/09/17 10:38:52.700, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 57, 82 %, 61 %, 7948 MiB, 2745 MiB, 5203 MiB
2021/09/17 10:38:57.701, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 58, 82 %, 61 %, 7948 MiB, 2745 MiB, 5203 MiB
2021/09/17 10:39:02.702, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 58, 91 %, 65 %, 7948 MiB, 2745 MiB, 5203 MiB
2021/09/17 10:39:07.703, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 58, 83 %, 61 %, 7948 MiB, 2745 MiB, 5203 MiB
2021/09/17 10:39:12.704, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 59, 81 %, 59 %, 7948 MiB, 2745 MiB, 5203 MiB
2021/09/17 10:39:17.705, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 60, 90 %, 65 %, 7948 MiB, 2745 MiB, 5203 MiB
