 1 1889 1651 1561 1778
 2 2493 2048 2087 2197
 3 2119 1700 1815 2222
 4 1645 1627 1110 1533
 5 1976 1916 1614 1883
 6 1712 1712 1439 1546
 7 1943 1685 1271 1671
 8 2104 1820 1717 1874
 9 2983 2794 2412 2581
10 1745 1600 1384 1508
11 1710 1591 1518 1667
12 2046 1907 1627 1898
13 1840 1841 1595 1741
14 1867 1685 1493 1678
15 1859 1649 1389 1714
16 1954 2149 1180 1281
17 1325 1170 1002 1176
18 1419 1371 1252 1308
19 1828 1634 1602 1755
20 1725 1594 1313 1646
21 2276 2189 1547 2111
22 1899 1614 1422 1477
23 1633 1513 1290 1516
24 2061 1867 1646 2037
25 1856 1493 1356 1533
26 1727 1412 1238 1469
27 2168 1896 1701 1834
28 1655 1675 1414 1597
29 2326 2301 2065 2234
30 1490 1382 1214 1284
