  1  210.8 29.211
  2  210.2 28.559
  3  208.4 27.972
  4  202.5 24.697
  5  200.6 23.726
  6  200.1 23.369
  7  199.5 20.030
  8  197.0 21.892
  9  196.4 21.928
 10  196.3 21.654
 11  195.6 21.605
 12  193.4 20.480
 13  193.6 20.212
 14  191.4 19.758
 15  191.1 19.490
 16  190.6 19.386
 17  189.5 18.869
 18  188.8 18.356
 19  188.5 18.507
 20  185.7 17.267
 21  186.0 17.221
 22  185.6 17.062
 23  184.1 16.959
 24  184.6 16.881
 25  184.1 16.817
 26  183.2 16.385
 27  182.4 16.235
 28  181.9 16.106
 29  181.9 15.928
 30  181.0 15.919
 31  180.6 15.376
