corr  x1 1.000 .447 .422 .435 .114 .203 .091 .082 .513 .304 .245 .101 .245 
corr  x2 .447 1.000 .619 .604 .068 .146 .103 .063 .445 .318 .203 .088 .199
corr  x3 .422 .619 1.000 .583 .053 .139 .110 .066 .365 .240 .183 .074 .184 
corr  x4 .435 .604 .583 1.000 .115 .258 .122 .097 .482 .369 .255 .139 .293 
corr  x5 .114 .068 .053 .115 1.000 .349 .209 .321 .186 .303 .272 .279 .278 
corr  x6 .203 .146 .139 .258 .349 1.000 .221 .355 .315 .377 .323 .367 .545
corr  x7 .091 .103 .110 .122 .209 .221 1.000 .201 .150 .163 .310 .232 .232
corr  x8 .082 .063 .066 .097 .321 .355 .201 1.000 .154 .219 .288 .320 .314
corr  x9 .513 .445 .365 .482 .186 .315 .150 .154 1.000 .534 .301 .204 .394 
corr x10 .304 .318 .240 .369 .303 .377 .163 .219 .534 1.000 .302 .368 .467
corr x11 .245 .203 .183 .255 .272 .323 .310 .288 .301 .302 1.000 .340 .392 
corr x12 .101 .088 .074 .139 .279 .367 .232 .320 .204 .368 .340 1.000 .511
corr x13 .245 .199 .184 .293 .278 .545 .232 .314 .394 .467 .392 .511 1.000
   n   n 1634 1634 1634 1634 1634 1634 1634 1634 1634 1634 1634 1634 1634
