Australia      124 33 8 81
Austria         49 31 6 55
Canada         181 38 8 80
Ceylon           4 17 2 24
Chili           22 20 4 78
Denmark        152 39 6 52
Finland         75 30 7 88
France          54 29 7 45
Germany         43 35 6 50
Ireland         41 31 5 69
Isreal          17 23 4 66
Italy           22 21 3 45
Japan           16  8 3 24
Mexico          10 23 3 43
Netherlands     63 37 6 38
New Zealand    170 40 8 72
Norway         125 38 6 41
Portugal        15 25 4 38
Sweden         221 39 7 52
Switzerland    171 33 7 52
United Kingdom  97 38 6 66
United States  254 39 8 89
Prediction     200 35 7  .
