SSA  4  5  5 20  1 21  2  1 22  8  3 13  1  4  9
 SA  2  5  7 13  1 16  4  2 16 10  6 10  7  6  5
 LA  9  9  8 12  2 17  5  3 16 11  6 13 10  7 11
LLA  5 11 10 20  1 15  3  2 25 10  6 14 10  6  8
SSG 25 25 19 19 20 11 11  8 19 19 13  2 15 15 10
 SG 25 25 21 20 19 14 12 10 18 20 15  3 15 18 14
 LG 22 23 18 15 20 12 14  8 15 22 19  2 14 16 11
LLG 17 17 18 11 11 10 11  3 10 14 12  1 13 11 12
BTA  7 11  8  7  3  7  3  2 10  7  8 13  6  3  5
DLT 12 13 13  9 11  8 12  9  9 14 10  1 10 11  7
