name,hourly_cost,vcpu,memory,storage,network,performance_per_vcpu,network_burst,ebs_burst
a1.medium,$0.02550,1,2 GiB,EBS Only,Up to 10 Gigabit,,,
a1.large,$0.05100,2,4 GiB,EBS Only,Up to 10 Gigabit,,,
a1.xlarge,$0.10200,4,8 GiB,EBS Only,Up to 10 Gigabit,,,
a1.2xlarge,$0.20400,8,16 GiB,EBS Only,Up to 10 Gigabit,,,
a1.4xlarge,$0.40800,16,32 GiB,EBS Only,Up to 10 Gigabit,,,
a1.metal,$0.40800,16,32 GiB,EBS Only,Up to 10 Gigabit,,,
t4g.nano,$0.00420,2,0.5 GiB,EBS Only,Up to 5 Gigabit,0.05,Up to 5,"Up to 2,085"
t4g.micro,$0.00840,2,1 GiB,EBS Only,Up to 5 Gigabit,0.10,Up to 5,"Up to 2,085"
t4g.small,$0.01680,2,2 GiB,EBS Only,Up to 5 Gigabit,0.20,Up to 5,"Up to 2,085"
t4g.medium,$0.03360,2,4 GiB,EBS Only,Up to 5 Gigabit,0.20,Up to 5,"Up to 2,085"
t4g.large,$0.06720,2,8 GiB,EBS Only,Up to 5 Gigabit,0.30,Up to 5,"Up to 2,780"
t4g.xlarge,$0.13440,4,16 GiB,EBS Only,Up to 5 Gigabit,0.40,Up to 5,"Up to 2,780"
t4g.2xlarge,$0.26880,8,32 GiB,EBS Only,Up to 5 Gigabit,0.40,Up to 5,"Up to 2,780"
t3.nano,$0.00520,2,0.5 GiB,EBS Only,Up to 5 Gigabit,0.05,5,"Up to 2,085"
t3.micro,$0.01040,2,1 GiB,EBS Only,Up to 5 Gigabit,0.10,5,"Up to 2,085"
t3.small,$0.02080,2,2 GiB,EBS Only,Up to 5 Gigabit,0.20,5,"Up to 2,085"
t3.medium,$0.04160,2,4 GiB,EBS Only,Up to 5 Gigabit,0.20,5,"Up to 2,085"
t3.large,$0.08320,2,8 GiB,EBS Only,Up to 5 Gigabit,0.30,5,"Up to 2,780"
t3.xlarge,$0.16640,4,16 GiB,EBS Only,Up to 5 Gigabit,0.40,5,"Up to 2,780"
t3.2xlarge,$0.33280,8,32 GiB,EBS Only,Up to 5 Gigabit,0.40,5,"Up to 2,780"
t3a.nano,$0.00470,2,0.5 GiB,EBS Only,Up to 5 Gigabit,0.05,5,"Up to 2,085"
t3a.micro,$0.00940,2,1 GiB,EBS Only,Up to 5 Gigabit,0.10,5,"Up to 2,085"
t3a.small,$0.01880,2,2 GiB,EBS Only,Up to 5 Gigabit,0.20,5,"Up to 2,085"
t3a.medium,$0.03760,2,4 GiB,EBS Only,Up to 5 Gigabit,0.20,5,"Up to 2,085"
t3a.large,$0.07520,2,8 GiB,EBS Only,Up to 5 Gigabit,0.30,5,"Up to 2,780"
t3a.xlarge,$0.15040,4,16 GiB,EBS Only,Up to 5 Gigabit,0.40,5,"Up to 2,780"
t3a.2xlarge,$0.30080,8,32 GiB,EBS Only,Up to 5 Gigabit,0.40,5,"Up to 2,780"
t2.nano,$0.00580,1,0.5 GiB,EBS Only,Low,,,
t2.micro,$0.01160,1,1 GiB,EBS Only,Low to Moderate,,,
t2.small,$0.02300,1,2 GiB,EBS Only,Low to Moderate,,,
t2.medium,$0.04640,2,4 GiB,EBS Only,Low to Moderate,,,
t2.large,$0.09280,2,8 GiB,EBS Only,Low to Moderate,,,
t2.xlarge,$0.18560,4,16 GiB,EBS Only,Moderate,,,
t2.2xlarge,$0.37120,8,32 GiB,EBS Only,Moderate,,,
m7g.medium,$0.04080,1,4 GiB,EBS Only,Up to 12500 Megabit,,,
m7g.large,$0.08160,2,8 GiB,EBS Only,Up to 12500 Megabit,,,
m7g.xlarge,$0.16320,4,16 GiB,EBS Only,Up to 12500 Megabit,,,
m7g.2xlarge,$0.32640,8,32 GiB,EBS Only,Up to 15 Gigabit,,,
m7g.4xlarge,$0.65280,16,64 GiB,EBS Only,Up to 15 Gigabit,,,
m7g.8xlarge,$1.30560,32,128 GiB,EBS Only,15 Gigabit,,,
m7g.12xlarge,$1.95840,48,192 GiB,EBS Only,22500 Megabit,,,
m7g.16xlarge,$2.61120,64,256 GiB,EBS Only,30 Gigabit,,,
m7g.metal,$2.61120,64,256 GiB,EBS Only,30 Gigabit,,,
m6a.large,$0.08640,2,8 GiB,EBS Only,Up to 12500 Megabit,,,
m6a.xlarge,$0.17280,4,16 GiB,EBS Only,Up to 12500 Megabit,,,
m6a.2xlarge,$0.34560,8,32 GiB,EBS Only,Up to 12500 Megabit,,,
m6a.4xlarge,$0.69120,16,64 GiB,EBS Only,Up to 12500 Megabit,,,
m6a.8xlarge,$1.38240,32,128 GiB,EBS Only,12500 Megabit,,,
m6a.12xlarge,$2.07360,48,192 GiB,EBS Only,18750 Megabit,,,
m6a.16xlarge,$2.76480,64,256 GiB,EBS Only,25000 Megabit,,,
m6a.24xlarge,$4.14720,96,384 GiB,EBS Only,37500 Megabit,,,
m6a.32xlarge,$5.52960,128,512 GiB,EBS Only,50000 Megabit,,,
m6a.48xlarge,$8.29440,192,768 GiB,EBS Only,50000 Megabit,,,
m6a.metal,$8.29440,192,768 GiB,EBS Only,50000 Megabit,,,
m6g.medium,$0.03850,1,4 GiB,EBS Only,Up to 10 Gigabit,,,
m6g.large,$0.07700,2,8 GiB,EBS Only,Up to 10 Gigabit,,,
m6g.xlarge,$0.15400,4,16 GiB,EBS Only,Up to 10 Gigabit,,,
m6g.2xlarge,$0.30800,8,32 GiB,EBS Only,Up to 10 Gigabit,,,
m6g.4xlarge,$0.61600,16,64 GiB,EBS Only,Up to 10 Gigabit,,,
m6g.8xlarge,$1.23200,32,128 GiB,EBS Only,12 Gigabit,,,
m6g.12xlarge,$1.84800,48,192 GiB,EBS Only,20 Gigabit,,,
m6g.16xlarge,$2.46400,64,256 GiB,EBS Only,25 Gigabit,,,
m6g.metal,$2.46400,64,256 GiB,EBS Only,25 Gigabit,,,
m6gd.medium,$0.04520,1,4 GiB,1 x 59 NVMe SSD,Up to 10 Gigabit,,,
m6gd.large,$0.09040,2,8 GiB,1 x 118 NVMe SSD,Up to 10 Gigabit,,,
m6gd.xlarge,$0.18080,4,16 GiB,1 x 237 NVMe SSD,Up to 10 Gigabit,,,
m6gd.2xlarge,$0.36160,8,32 GiB,1 x 475 NVMe SSD,Up to 10 Gigabit,,,
m6gd.4xlarge,$0.72320,16,64 GiB,1 x 950 NVMe SSD,Up to 10 Gigabit,,,
m6gd.8xlarge,$1.44640,32,128 GiB,1 x 1900 NVMe SSD,12 Gigabit,,,
m6gd.12xlarge,$2.16960,48,192 GiB,2 x 1425 NVMe SSD,20 Gigabit,,,
m6gd.16xlarge,$2.89280,64,256 GiB,2 x 1900 NVMe SSD,25 Gigabit,,,
m6gd.metal,$2.89280,64,256 GiB,2 x 1900 NVMe SSD,25 Gigabit,,,
m6i.large,$0.09600,2,8 GiB,EBS Only,Up to 12500 Megabit,,,
m6i.xlarge,$0.19200,4,16 GiB,EBS Only,Up to 12500 Megabit,,,
m6i.2xlarge,$0.38400,8,32 GiB,EBS Only,Up to 12500 Megabit,,,
m6i.4xlarge,$0.76800,16,64 GiB,EBS Only,Up to 12500 Megabit,,,
m6i.8xlarge,$1.53600,32,128 GiB,EBS Only,12500 Megabit,,,
m6i.12xlarge,$2.30400,48,192 GiB,EBS Only,18750 Megabit,,,
m6i.16xlarge,$3.07200,64,256 GiB,EBS Only,25000 Megabit,,,
m6i.24xlarge,$4.60800,96,384 GiB,EBS Only,37500 Megabit,,,
m6i.32xlarge,$6.14400,128,512 GiB,EBS Only,50000 Megabit,,,
m6i.metal,$6.14400,128,512 GiB,EBS Only,50000 Megabit,,,
m6id.large,$0.11865,2,8 GiB,1 x 118 SSD,Up to 12500 Megabit,,,
m6id.xlarge,$0.23730,4,16 GiB,1 x 237 SSD,Up to 12500 Megabit,,,
m6id.2xlarge,$0.47460,8,32 GiB,1 x 474 SSD,Up to 12500 Megabit,,,
m6id.4xlarge,$0.94920,16,64 GiB,1 x 950 SSD,Up to 12500 Megabit,,,
m6id.8xlarge,$1.89840,32,128 GiB,1 x 1900 SSD,12500 Megabit,,,
m6id.12xlarge,$2.84760,48,192 GiB,2 x 1425 SSD,18750 Megabit,,,
m6id.16xlarge,$3.79680,64,256 GiB,2 x 1900 SSD,25000 Megabit,,,
m6id.24xlarge,$5.69520,96,384 GiB,4 x 1425 SSD,37500 Megabit,,,
m6id.32xlarge,$7.59360,128,512 GiB,4 x 1900 SSD,50000 Megabit,,,
m6id.metal,$7.59360,128,512 GiB,4 x 1900 SSD,50000 Megabit,,,
m6idn.large,$0.15912,2,8 GiB,1 x 118 SSD,Up to 25000 Megabit,,,
m6idn.xlarge,$0.31824,4,16 GiB,1 x 237 SSD,Up to 30000 Megabit,,,
m6idn.2xlarge,$0.63648,8,32 GiB,1 x 474 SSD,Up to 40000 Megabit,,,
m6idn.4xlarge,$1.27296,16,64 GiB,1 x 950 SSD,Up to 50000 Megabit,,,
m6idn.8xlarge,$2.54592,32,128 GiB,1 x 1900 SSD,50000 Megabit,,,
m6idn.12xlarge,$3.81888,48,192 GiB,2 x 1425 SSD,75000 Megabit,,,
